维度,权重,得分,变化幅度（有对比数据时）,绝对值（无对比数据时）,报告类型

使用时长,25%,100分,增加 ≥50%,≥ 5 小时,周报
使用时长,25%,85分,增加 0-50%,3-5 小时,周报
使用时长,25%,70分,持平（±5%以内）,1-3 小时,周报
使用时长,25%,60分,减少 0-30%,0.5-1 小时,周报
使用时长,25%,40分,减少 30-50%,5分钟-0.5小时,周报
使用时长,25%,0分,减少 ≥50%,< 5分钟（不展示标签）,周报

使用时长,25%,100分,增加 ≥50%,≥ 40 分钟,日报
使用时长,25%,85分,增加 0-50%,25-40 分钟,日报
使用时长,25%,70分,持平（±5%以内）,10-25 分钟,日报
使用时长,25%,60分,减少 0-30%,5-10 分钟,日报
使用时长,25%,40分,减少 30-50%,< 5 分钟（不展示标签）,日报
使用时长,25%,0分,减少 ≥50%,—,日报

刷练知识点,25%,100分,增加 ≥50%,≥ 10 个,周报
刷练知识点,25%,85分,增加 0-50%,5-10 个,周报
刷练知识点,25%,70分,持平（±10%以内）,2-5 个,周报
刷练知识点,25%,60分,减少 0-30%,1-2 个,周报
刷练知识点,25%,30分,减少 30-50%,0 个（中性分）,周报
刷练知识点,25%,0分,减少 ≥50%,—,周报

刷练知识点,25%,100分,增加 ≥50%,≥ 2 个,日报
刷练知识点,25%,70分,持平或增加 0-50%,1 个,日报
刷练知识点,25%,30分,减少,0 个（中性分）,日报

答题正确率,15%,100分,增加 ≥10%,≥ 90%,周报/日报
答题正确率,15%,85分,增加 5-10%,80-90%,周报/日报
答题正确率,15%,70分,持平（±5%以内）,70-80%,周报/日报
答题正确率,15%,60分,减少 0-10%,60-70%,周报/日报
答题正确率,15%,40分,减少 10-20%,50-60%,周报/日报
答题正确率,15%,20分,减少 ≥20%,< 50%,周报/日报
答题正确率,15%,50分（中性）,—,无答题记录,周报/日报

习题数量,15%,100分,增加 ≥50%,≥ 150 题,周报
习题数量,15%,85分,增加 0-50%,100-150 题,周报
习题数量,15%,70分,持平（±10%以内）,50-100 题,周报
习题数量,15%,60分,减少 0-30%,20-50 题,周报
习题数量,15%,30分,减少 30-50%,1-20 题,周报
习题数量,15%,0分,减少 ≥50%,0 题,周报

习题数量,15%,100分,增加 ≥50%,≥ 20 题,日报
习题数量,15%,80分,增加 0-50%,10-20 题,日报
习题数量,15%,60分,持平（±10%以内）,5-10 题,日报
习题数量,15%,40分,减少,1-5 题,日报
习题数量,15%,0分,—,0 题,日报

观看课程数量,10%,100分,增加 ≥50%,≥ 10 节,周报
观看课程数量,10%,85分,增加 0-50%,5-10 节,周报
观看课程数量,10%,70分,持平（±10%以内）,2-5 节,周报
观看课程数量,10%,60分,减少 0-30%,1-2 节,周报
观看课程数量,10%,30分,减少 30-50%,0 节（中性分）,周报
观看课程数量,10%,0分,减少 ≥50%,—,周报

观看课程数量,10%,100分,增加 ≥50%,≥ 2 节,日报
观看课程数量,10%,70分,持平或增加 0-50%,1 节,日报
观看课程数量,10%,30分,减少,0 节（中性分）,日报

学习目标完成率,10%,100分,100%,100%,周报/日报
学习目标完成率,10%,80分,80-100%,80-100%,周报/日报
学习目标完成率,10%,60分,60-80%,60-80%,周报/日报
学习目标完成率,10%,40分,40-60%,40-60%,周报/日报
学习目标完成率,10%,20分,20-40%,20-40%,周报/日报
学习目标完成率,10%,10分,< 20%,< 20%,周报/日报
学习目标完成率,10%,50分（中性）,无学习目标,无学习目标,周报/日报
